PollingPlaceNm,PremisesNm,PremisesAddress,PremisesSuburb
Austins Ferry,St Virgil's College,195 Main Rd,Austins Ferry
Battery Point West,Albuera Street Primary School,Albuera St,Battery Point
Battery Point,St George's Church Hall,28 Cromwell St,Battery Point
Chigwell,Chigwell Barn,10 Bucaan St,Chigwell
Roseneath,Austins Ferry Primary School,16A Cammeray Rd,Claremont
Claremont,Claremont Girl Guides Hall,3 Boxhill Rd,Claremont
Windermere,Windermere Primary School,2 Cadbury Rd,Claremont
Collinsvale,Collinsvale Primary School,508 Collinsvale Rd,Collinsvale
Dynnyrne,Princes Street Primary School,Randall St,Sandy Bay
Fern Tree,Fern Tree Community Centre,8 Stephenson Pl,Fern Tree
Glenorchy,Glenorchy Primary School,Kensington St,Glenorchy
Glenorchy Central,St Matthews Church,Cnr Tolosa St and Main Rd,Glenorchy
Goodwood,Goodwood Primary School,Elmsleigh Rd,Derwent Park
Merton,Tolosa Hall,148 Tolosa St,Glenorchy
Hobart City,Hobart Voting Centre,144 Macquarie St,Hobart
West Hobart,St Peter's Hall,Cnr Brisbane and Harrington Sts,Hobart
Lenah Valley,Lenah Valley Primary School,11 Creek Rd,Lenah Valley
Lutana,Southern ITF Taekwon-Do,12 Ashbolt Cres,Lutana
Moonah East,Bowen Road Primary School,35 Bowen Rd,Moonah
Moonah,Moonah Community Centre,7 Gormanston Road,Moonah
Moonah North,Moonah Primary School,40 Derwent Park Rd,Derwent Park
Mount Nelson,Mt Nelson Primary School,388 Nelson Rd,Mount Nelson
Mount Stuart,Mt Stuart Primary School,106 Gillon Cres,Mount Stuart
New Town West,Sacred Heart College,2 Cross St,New Town
New Town,The Friends School,395 Argyle St,North Hobart
North Hobart Central,Hobart North Uniting Church,Swan St,North Hobart
Rosetta,Montrose Bay High School,865 Brooker Ave,Rosetta
Sandy Bay Beach,Harold Gregg Centre (Sandown Village),1 Southerwood Dr,Sandy Bay
Lower Sandy Bay,St Stephen's Church Hall,520 Sandy Bay Rd,Sandy Bay
Waimea Heights,Waimea Heights Primary School,12 Balfour Ct,Sandy Bay
Sandy Bay,Wellspring Anglican Church Hall,43-47 Grosvenor St,Sandy Bay
Cascades,Badminton Association Centre,101 Cascade Rd,South Hobart
South Hobart,St Francis Xavier's Church Hall,34 Anglesea St,South Hobart
Taroona,Taroona Primary School,104 Channel Hwy,Taroona
West Hobart Central,AA Lord Village (Lawrenny Court),131 Hill Street,West Hobart
West Hobart South,Goulburn Street Primary School,Forest Rd,West Hobart
